"Run","teamC1","teamC1_gs","teamC1_gc","teamC1_di","teamC1_pts","teamD2","teamD2_gs","teamD2_gc","teamD2_di","teamD2_pts","teamA1","teamA1_gs","teamA1_gc","teamA1_di","teamA1_pts","teamB2","teamB2_gs","teamB2_gc","teamB2_di","teamB2_pts","teamB1","teamB1_gs","teamB1_gc","teamB1_di","teamB1_pts","teamA2","teamA2_gs","teamA2_gc","teamA2_di","teamA2_pts","teamD1","teamD1_gs","teamD1_gc","teamD1_di","teamD1_pts","teamC2","teamC2_gs","teamC2_gc","teamC2_di","teamC2_pts","teamE1","teamE1_gs","teamE1_gc","teamE1_di","teamE1_pts","teamF2","teamF2_gs","teamF2_gc","teamF2_di","teamF2_pts","teamG1","teamG1_gs","teamG1_gc","teamG1_di","teamG1_pts","teamH2","teamH2_gs","teamH2_gc","teamH2_di","teamH2_pts","teamF1","teamF1_gs","teamF1_gc","teamF1_di","teamF1_pts","teamE2","teamE2_gs","teamE2_gc","teamE2_di","teamE2_pts","teamH1","teamH1_gs","teamH1_gc","teamH1_di","teamH1_pts","teamG2","teamG2_gs","teamG2_gc","teamG2_di","teamG2_pts"
"75","France",8,4,4,6,"Argentina",5,4,1,6,"Russia",8,3,5,7,"Spain",5,2,3,4,"Portugal",7,2,5,9,"Uruguay",5,5,0,4,"Croatia",6,2,4,9,"Australia",3,6,-3,4,"Costa Rica",9,5,4,7,"Sweden",5,7,-2,6,"Belgium",7,1,6,9,"Poland",8,1,7,6,"Germany",7,2,5,7,"Brazil",7,5,2,5,"Senegal",5,4,1,9,"England",2,2,0,4
"76","France",6,2,4,7,"Croatia",4,2,2,5,"Russia",6,6,0,6,"Portugal",7,5,2,6,"Spain",6,2,4,7,"Uruguay",8,5,3,6,"Argentina",7,3,4,7,"Peru",5,3,2,6,"Costa Rica",5,5,0,6,"Mexico",6,3,3,6,"Belgium",9,6,3,6,"Poland",8,5,3,6,"Germany",5,1,4,7,"Brazil",8,4,4,5,"Colombia",7,2,5,9,"England",4,3,1,5
"77","France",7,5,2,6,"Nigeria",4,3,1,5,"Uruguay",9,5,4,7,"Portugal",6,2,4,6,"Spain",5,2,3,7,"Russia",8,4,4,6,"Argentina",5,1,4,7,"Peru",6,3,3,6,"Brazil",7,2,5,9,"Mexico",5,6,-1,6,"Belgium",5,3,2,7,"Japan",6,6,0,4,"Germany",9,4,5,6,"Switzerland",5,5,0,3,"Poland",5,7,-2,7,"England",4,3,1,5
"78","France",10,4,6,9,"Argentina",6,3,3,4,"Russia",12,1,11,9,"Spain",5,5,0,6,"Portugal",8,3,5,9,"Uruguay",7,4,3,6,"Croatia",6,2,4,9,"Peru",7,5,2,6,"Brazil",8,4,4,7,"Mexico",3,2,1,6,"England",8,2,6,9,"Senegal",5,5,0,5,"Germany",8,2,6,9,"Switzerland",7,4,3,5,"Poland",4,4,0,5,"Belgium",4,4,0,4
"79","France",8,3,5,9,"Argentina",4,5,-1,4,"Russia",5,1,4,9,"Portugal",7,5,2,6,"Spain",6,2,4,9,"Uruguay",5,3,2,4,"Croatia",4,2,2,5,"Australia",2,7,-5,3,"Brazil",7,5,2,7,"South Korea",4,5,-1,4,"Belgium",7,3,4,9,"Senegal",5,5,0,4,"Germany",11,4,7,9,"Costa Rica",6,5,1,6,"Poland",7,4,3,7,"Panama",3,4,-1,3
"80","France",9,4,5,7,"Nigeria",2,3,-1,4,"Uruguay",9,3,6,9,"Spain",9,6,3,4,"Portugal",10,5,5,9,"Russia",6,3,3,6,"Argentina",5,3,2,5,"Peru",7,5,2,5,"Brazil",11,1,10,9,"Sweden",5,4,1,6,"Belgium",9,4,5,9,"Poland",6,5,1,6,"Germany",9,5,4,7,"Switzerland",5,6,-1,6,"Colombia",6,3,3,9,"England",6,5,1,6
"81","France",8,3,5,7,"Nigeria",5,5,0,6,"Uruguay",9,4,5,9,"Spain",4,2,2,6,"Portugal",8,3,5,9,"Russia",8,4,4,6,"Argentina",9,5,4,7,"Australia",5,6,-1,4,"Brazil",9,3,6,9,"Sweden",4,5,-1,6,"Belgium",8,3,5,9,"Poland",5,4,1,4,"Germany",7,2,5,9,"Costa Rica",6,5,1,4,"Colombia",6,2,4,5,"England",4,4,0,4
"82","Peru",6,3,3,6,"Nigeria",3,4,-1,4,"Uruguay",9,3,6,6,"Spain",3,3,0,3,"Portugal",4,3,1,5,"Egypt",8,6,2,6,"Argentina",6,3,3,4,"Denmark",5,4,1,5,"Brazil",6,3,3,6,"Mexico",6,6,0,5,"Belgium",9,2,7,9,"Poland",4,5,-1,4,"Germany",9,4,5,7,"Switzerland",5,4,1,6,"Colombia",8,1,7,9,"England",6,3,3,6
"83","France",8,4,4,9,"Argentina",6,4,2,6,"Uruguay",9,3,6,9,"Portugal",6,1,5,7,"Spain",7,2,5,7,"Russia",7,3,4,6,"Croatia",5,3,2,7,"Peru",6,5,1,4,"Switzerland",7,5,2,7,"Mexico",6,7,-1,6,"England",6,2,4,7,"Poland",8,6,2,6,"Germany",8,5,3,6,"Brazil",5,3,2,6,"Colombia",7,7,0,9,"Belgium",6,2,4,6
"84","France",10,4,6,7,"Argentina",6,4,2,6,"Russia",6,4,2,6,"Portugal",5,6,-1,4,"Spain",12,3,9,9,"Uruguay",7,4,3,5,"Croatia",6,3,3,9,"Peru",6,6,0,4,"Serbia",7,1,6,9,"Sweden",5,4,1,6,"Belgium",8,0,8,9,"Japan",3,5,-2,4,"Germany",4,2,2,6,"Brazil",7,4,3,6,"Poland",5,4,1,7,"England",4,4,0,6
"85","France",9,1,8,9,"Nigeria",4,3,1,5,"Russia",10,2,8,9,"Spain",5,3,2,4,"Portugal",5,6,-1,4,"Uruguay",5,5,0,4,"Argentina",7,3,4,7,"Peru",4,2,2,6,"Brazil",5,4,1,6,"Mexico",4,5,-1,6,"Belgium",7,3,4,9,"Poland",4,6,-2,4,"Germany",8,2,6,9,"Switzerland",7,5,2,5,"Colombia",3,5,-2,7,"England",4,2,2,6
